,SA1_7code,Score_disadvantage,Decile_disadvantage,Score_advantage,Decile_advantage,Score_economic,Decile_economic,Score_occupation,Decile_occupation,population,KMeans,kprototypes
0,1100701,991.0,4.0,972.0,4.0,1001.0,5.0,984.0,5.0,256.0,8,1
1,1100702,1044.0,7.0,1044.0,7.0,1078.0,8.0,1055.0,7.0,381.0,2,4
2,1100703,980.0,4.0,962.0,4.0,951.0,3.0,1010.0,6.0,428.0,1,6
3,1100704,984.0,4.0,970.0,4.0,986.0,5.0,1026.0,6.0,446.0,1,6
4,1100705,944.0,3.0,936.0,3.0,965.0,4.0,979.0,5.0,402.0,1,6
5,1100706,972.0,4.0,943.0,3.0,1001.0,5.0,942.0,3.0,249.0,8,1
6,1100707,1030.0,6.0,1016.0,6.0,1026.0,6.0,1047.0,7.0,359.0,8,1
7,1100708,1046.0,7.0,1046.0,7.0,1058.0,8.0,1111.0,9.0,458.0,0,0
8,1100709,1058.0,7.0,1063.0,8.0,1084.0,9.0,1048.0,7.0,380.0,2,4
9,1100710,1023.0,6.0,995.0,5.0,1014.0,6.0,1013.0,6.0,515.0,1,6
10,1100801,1038.0,6.0,1004.0,5.0,1017.0,6.0,955.0,4.0,388.0,1,6
11,1100802,1053.0,7.0,1040.0,7.0,1071.0,8.0,1001.0,6.0,557.0,0,0
12,1100803,833.0,1.0,830.0,1.0,839.0,1.0,852.0,1.0,370.0,3,9
13,1100804,882.0,2.0,874.0,2.0,887.0,2.0,883.0,2.0,406.0,3,9
14,1100805,652.0,1.0,710.0,1.0,732.0,1.0,868.0,1.0,254.0,9,8
15,1100806,1014.0,5.0,992.0,5.0,1027.0,6.0,932.0,3.0,387.0,1,6
16,1100807,974.0,4.0,949.0,3.0,944.0,3.0,958.0,4.0,434.0,1,6
17,1100808,966.0,3.0,955.0,4.0,968.0,4.0,953.0,4.0,513.0,1,6
18,1100810,1086.0,9.0,1081.0,8.0,1128.0,10.0,1056.0,7.0,271.0,2,4
19,1100811,1032.0,6.0,1008.0,6.0,1024.0,6.0,986.0,5.0,356.0,8,1
20,1100812,1113.0,10.0,1125.0,10.0,1086.0,9.0,1112.0,9.0,255.0,2,4
21,1100813,1083.0,9.0,1071.0,8.0,1103.0,9.0,1037.0,7.0,444.0,0,0
22,1100814,1059.0,7.0,1037.0,7.0,1063.0,8.0,1003.0,6.0,484.0,1,6
23,1100815,977.0,4.0,953.0,3.0,931.0,3.0,940.0,3.0,461.0,1,6
24,1100816,852.0,1.0,855.0,1.0,868.0,1.0,908.0,2.0,440.0,6,5
25,1100817,993.0,4.0,967.0,4.0,975.0,4.0,928.0,3.0,284.0,8,1
26,1100818,968.0,4.0,945.0,3.0,921.0,2.0,902.0,2.0,268.0,3,9
27,1100819,1081.0,8.0,1078.0,8.0,1123.0,10.0,1015.0,6.0,471.0,0,0
28,1100820,1009.0,5.0,983.0,5.0,1020.0,6.0,952.0,4.0,290.0,8,1
29,1100821,1074.0,8.0,1064.0,8.0,1130.0,10.0,983.0,5.0,467.0,0,0
30,1100822,1085.0,9.0,1080.0,8.0,1135.0,10.0,1006.0,6.0,230.0,2,4
31,1100823,1028.0,6.0,1053.0,7.0,1052.0,7.0,1051.0,7.0,214.0,8,1
32,1100901,1056.0,7.0,1038.0,7.0,1028.0,6.0,1045.0,7.0,234.0,8,1
33,1100902,1005.0,5.0,1010.0,6.0,1046.0,7.0,989.0,5.0,345.0,8,1
34,1100904,1056.0,7.0,1044.0,7.0,1089.0,9.0,1009.0,6.0,349.0,8,1
35,1100905,1002.0,5.0,998.0,5.0,1016.0,6.0,991.0,5.0,415.0,1,6
36,1100907,985.0,4.0,973.0,4.0,928.0,3.0,1004.0,6.0,467.0,1,6
37,1100908,998.0,5.0,996.0,5.0,896.0,2.0,1053.0,7.0,522.0,1,6
38,1100909,958.0,3.0,948.0,3.0,849.0,1.0,988.0,5.0,587.0,6,5
39,1100910,966.0,3.0,958.0,4.0,849.0,1.0,1022.0,6.0,503.0,6,5
40,1100911,981.0,4.0,969.0,4.0,949.0,3.0,951.0,4.0,396.0,1,6
41,1100912,982.0,4.0,957.0,4.0,966.0,4.0,951.0,4.0,276.0,8,1
42,1100913,1021.0,6.0,1010.0,6.0,1029.0,6.0,1003.0,6.0,615.0,4,2
43,1100914,1025.0,6.0,1011.0,6.0,1015.0,6.0,1014.0,6.0,435.0,1,6
44,1100915,951.0,3.0,943.0,3.0,879.0,2.0,972.0,5.0,734.0,4,2
45,1100916,1006.0,5.0,990.0,5.0,986.0,5.0,999.0,5.0,486.0,1,6
46,1100917,908.0,2.0,934.0,3.0,830.0,1.0,1018.0,6.0,226.0,3,9
47,1100918,1025.0,6.0,1016.0,6.0,997.0,5.0,1033.0,7.0,521.0,1,6
48,1100919,1033.0,6.0,1016.0,6.0,968.0,4.0,1027.0,6.0,513.0,1,6
49,1100920,839.0,1.0,858.0,1.0,817.0,1.0,927.0,3.0,405.0,3,9
50,1100921,1037.0,6.0,1019.0,6.0,939.0,3.0,1043.0,7.0,431.0,1,6
51,1100923,1012.0,5.0,1004.0,5.0,1028.0,6.0,973.0,5.0,443.0,1,6
52,1100925,1028.0,6.0,1007.0,5.0,922.0,2.0,1019.0,6.0,474.0,1,6
53,1100926,963.0,3.0,948.0,3.0,863.0,1.0,940.0,3.0,260.0,3,9
54,1100927,1064.0,8.0,1077.0,8.0,1045.0,7.0,1032.0,7.0,295.0,2,1
55,1100928,956.0,3.0,949.0,3.0,886.0,2.0,962.0,4.0,351.0,3,9
56,1100929,926.0,2.0,928.0,3.0,879.0,2.0,965.0,4.0,537.0,6,5
57,1101001,978.0,4.0,985.0,5.0,887.0,2.0,1044.0,7.0,144.0,8,1
58,1101002,1142.0,10.0,1163.0,10.0,1170.0,10.0,1155.0,10.0,365.0,2,4
59,1101003,1127.0,10.0,1115.0,9.0,1140.0,10.0,1074.0,8.0,322.0,2,4
60,1101004,1090.0,9.0,1087.0,9.0,1073.0,8.0,1037.0,7.0,308.0,2,4
61,1101006,928.0,2.0,926.0,3.0,829.0,1.0,988.0,5.0,483.0,6,5
62,1101007,984.0,4.0,974.0,4.0,909.0,2.0,1015.0,6.0,273.0,8,1
63,1101008,931.0,3.0,928.0,3.0,858.0,1.0,958.0,4.0,471.0,6,5
64,1101009,1021.0,6.0,1010.0,6.0,1015.0,6.0,1005.0,6.0,372.0,1,6
65,1101010,968.0,4.0,953.0,3.0,907.0,2.0,979.0,5.0,397.0,1,6
66,1101011,1000.0000908628334,5.5,1000.0005996947009,5.5,1000.0033422945579,5.5,966.0,4.0,25.0,8,1
67,1101012,1049.0,7.0,1010.0,6.0,1020.0,6.0,970.0,4.0,91.0,8,1
68,1101014,1135.0,10.0,1143.0,10.0,1165.0,10.0,1096.0,9.0,163.0,2,4
69,1101015,965.0,3.0,943.0,3.0,864.0,1.0,976.0,5.0,604.0,6,5
70,1101016,1101.0,9.0,1115.0,9.0,1101.0,9.0,1097.0,9.0,412.0,2,4
71,1101017,1004.0,5.0,991.0,5.0,934.0,3.0,1014.0,6.0,357.0,1,6
72,1101101,1099.0,9.0,1111.0,9.0,1105.0,9.0,1108.0,9.0,621.0,0,0
73,1101102,1121.0,10.0,1140.0,10.0,1157.0,10.0,1145.0,10.0,245.0,2,4
74,1101103,1081.0,8.0,1109.0,9.0,1122.0,10.0,1116.0,9.0,328.0,2,4
75,1101104,1028.0,6.0,1023.0,6.0,1050.0,7.0,1000.0,6.0,534.0,1,6
76,1101105,1113.0,10.0,1124.0,10.0,1140.0,10.0,1096.0,9.0,494.0,0,0
77,1101106,1118.0,10.0,1125.0,10.0,1147.0,10.0,1086.0,8.0,376.0,2,4
78,1101107,1077.0,8.0,1085.0,8.0,1115.0,9.0,1058.0,8.0,346.0,2,4
79,1101108,969.0,4.0,954.0,4.0,963.0,4.0,938.0,3.0,449.0,1,6
80,1101109,1115.0,10.0,1144.0,10.0,1151.0,10.0,1144.0,10.0,341.0,2,4
81,1101110,1117.0,10.0,1123.0,9.0,1147.0,10.0,1135.0,9.0,188.0,2,4
82,1101111,1122.0,10.0,1143.0,10.0,1170.0,10.0,1114.0,9.0,458.0,0,0
83,1101112,1066.0,8.0,1082.0,8.0,1131.0,10.0,1112.0,9.0,205.0,2,4
84,1101113,1067.0,8.0,1088.0,9.0,1137.0,10.0,1088.0,8.0,144.0,2,4
85,1101115,1120.0,10.0,1167.0,10.0,1229.0,10.0,1104.0,9.0,371.0,2,4
86,1101116,1057.0,7.0,1050.0,7.0,1065.0,8.0,1052.0,7.0,333.0,2,4
87,1101117,1093.0,9.0,1080.0,8.0,1107.0,9.0,1059.0,8.0,292.0,2,4
88,1101118,1056.0,7.0,1032.0,6.0,1072.0,8.0,1018.0,6.0,428.0,1,6
89,1101119,1110.0,10.0,1123.0,9.0,1175.0,10.0,1039.0,7.0,302.0,2,4
90,1101120,1120.0,10.0,1142.0,10.0,1178.0,10.0,1107.0,9.0,512.0,0,0
91,1101122,1075.0,8.0,1102.0,9.0,1143.0,10.0,1086.0,8.0,293.0,2,4
92,1101123,1119.0,10.0,1158.0,10.0,1237.0,10.0,1078.0,8.0,210.0,2,4
93,1101125,1078.0,8.0,1047.0,7.0,1066.0,8.0,1015.0,6.0,572.0,0,0
