,SA1_7code,Score_disadvantage,Decile_disadvantage,Score_advantage,Decile_advantage,Score_economic,Decile_economic,Score_occupation,Decile_occupation,population,KMeans
0,2100101,1001,5,975,4,969,4,984,5,434,0
1,2100102,955,3,936,3,1001,5,943,3,214,0
2,2100105,925,2,926,3,876,2,983,5,301,0
3,2100106,999,5,971,4,968,4,990,5,560,1
4,2100107,909,2,903,2,874,1,975,5,369,0
5,2100108,1006,5,979,4,985,5,975,5,683,1
6,2100109,922,2,918,2,907,2,965,4,569,0
7,2100110,1105,10,1088,9,1137,10,1064,8,500,2
8,2100111,1070,8,1038,7,1085,9,994,5,377,2
9,2100112,1061,8,1036,7,1064,8,1007,6,459,2
10,2100113,1067,8,1041,7,1068,8,1027,6,360,2
11,2100114,1028,6,1010,6,997,5,1042,7,548,1
12,2100115,1033,6,1008,6,1055,7,991,5,565,1
13,2100117,1118,10,1116,9,1106,9,1101,9,842,1
14,2100118,1097,9,1073,8,1126,10,1038,7,315,2
15,2100119,1124,10,1092,9,1162,10,1016,6,529,1
16,2100120,1022,6,1006,5,984,5,1034,7,626,1
17,2100121,1093,9,1068,8,1083,8,1050,7,719,1
18,2100122,1073,8,1050,7,1060,8,1040,7,1339,1
19,2100123,1055,7,1032,6,1015,6,1037,7,855,1
20,2100124,1099,9,1081,8,1135,10,1057,8,491,2
21,2100201,1076,8,1070,8,1042,7,1102,9,575,1
22,2100202,1084,9,1075,8,1042,7,1099,9,337,2
23,2100203,1045,7,1025,6,992,5,1051,7,431,2
24,2100204,1054,7,1047,7,1006,5,1073,8,355,2
25,2100205,1013,5,998,5,942,3,1027,7,520,1
26,2100206,1113,10,1116,9,1108,9,1102,9,485,2
27,2100207,1084,9,1085,8,1037,7,1131,9,383,2
28,2100208,1111,10,1131,10,1096,9,1180,10,545,1
29,2100211,1022,6,1015,6,949,3,1073,8,509,1
30,2100212,1035,6,1029,6,980,4,1088,8,285,2
31,2100213,981,4,991,5,944,3,1076,8,435,2
32,2100214,1008,5,994,5,930,3,1028,7,400,2
33,2100215,999,5,1004,5,913,2,1100,9,461,2
34,2100216,950,3,936,3,887,2,985,5,367,0
35,2100217,1027,6,1045,7,921,2,1139,10,306,2
36,2100218,1086,9,1067,8,1000,5,1093,9,342,2
37,2100219,852,1,897,2,743,1,1028,7,208,0
38,2100220,1068,8,1073,8,1003,5,1151,10,236,2
39,2100221,952,3,959,4,915,2,1030,7,246,0
